Wallet Address,Transaction Frequency,Transaction Volume (ETH),Largest Transaction (ETH),Average Transaction Value (ETH),Liquidation Event Count,Average Health Factor,Collateral Utilization,Total Outstanding Debt (USD),Average Debt Size (USD),Debt-to-Asset Ratio,Repayment Activity Proxy,Earnings Efficiency,Protocol Diversity,Lending Protocol Count,Liquidity Provision Count,Token Swap Count,Wallet Age (Days),DeFi Engagement Duration (Days)
0x8aa4505cb234cf82170e4c27e4e9b1022b5544fb,2.25,0.0699,0.0381,0.0078,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,110.0,107.0
0x06a1ae96416fe1ac781de1648e80d5073cd5b868,0.2,2.7942,0.9872,0.3105,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1396.0,818.0
0xeedc178e4ad2fe7cebfba111bff11e8e0ad106ad,27.08,463.4812,73.7,1.4261,0,2.2204,0.0927,37982.83,7596.566000000001,7.2033,45.0,-0.006,3.0,1.0,0.0,0.0,348.0,278.0
0x2815befd30667543ca2f48f1fe31923851de971c,0.8,0.562,0.0909,0.017,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1245.0,0.0
0x05a7e512bf4c58129119fd9918fe8be778ec4bbc,20.0,3.188,1.0892,0.1594,0,5.4349,0.1466,2020.91,505.2275,49.1347,4.0,-0.0056,1.0,1.0,0.0,1.0,2.0,2.0
0x29f37db226277d3119b2ea83a087a56e05920fce,4.45,285.6183,45.5,1.3666,0,inf,0.0,0.0,0.0,0.0,0.0,0.0123,3.0,0.0,0.0,33.0,1442.0,1434.0
0xced3fc4610761f79242d7d8a72fe86f3a1c626b4,59.67,7513.0588,168.0,2.064,0,0.0,0.0,0.0,0.0,0.0,151.0,0.0,1.0,0.0,1.0,96.0,1847.0,1845.0
0x1d5c600db72bc46d066505683f476637c5b8024e,4.0,0.0223,0.0123,0.0011,0,inf,0.0,0.0,0.0,0.0,0.0,0.0362,1.0,0.0,0.0,0.0,154.0,39.0
0xbe99c27a4cbd746f249957a5d908bf64eb06e618,121.86,46302.0781,1916.1806,13.1019,0,inf,0.0,0.0,0.0,0.0,2.0,0.0416,2.0,0.0,0.0,168.0,874.0,625.0
0xc42f15c2f12333717350d7660a18e986fd510f2e,1.36,2.0109,0.6841,0.0268,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1679.0,1574.0
0x91fb1ab0d8d4c6c02e53d488f4c15a3717f3fec0,2.33,64.6553,24.0,2.3091,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,7.0,377.0,0.0
0x01949bdd9f1485cfd915e58118df0efd3b478e8e,11.0,0.017,0.017,0.0015,0,inf,0.0,0.0,0.0,0.0,0.0,0.0002,1.0,0.0,0.0,0.0,9.0,0.0
0xa2e046e18b99b368c3e0f17835e9f1bc37e0960a,6.81,7.536,3.2711,0.0527,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,633.0,59.0
0x53fb8d49717a66bfff5334c94bdf27d5fcdabfc8,1.43,1.7691,0.1333,0.0281,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1345.0,1317.0
0xd5035827ad8c7a554b9383b6d276b9c608af5d08,0.28,0.0634,0.0369,0.0037,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1841.0,1520.0
0xaa1a1befba7e2df4ebaf0d210d5f05ae1f6fd87a,0.79,29.0052,14.5,2.6368,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,429.0,13.0
0xfde2bc2005a23e7b85ab791093a3e9551d4f99bb,4.75,0.1276,0.1276,0.0067,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,113.0,113.0
0xac28ff7de2dfe6d2087ebf1bccd6f98642847a58,1.85,0.3257,0.145,0.0088,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,600.0,600.0
0x9a34bcb207807608aadfca9570a0978d5bc28025,2.94,12.0984,4.1,0.1141,0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,1.0,0.0,0.0,0.0,1098.0,1096.0
0xaddc0c9f6ad8cebdc75e98b41d42c9863049198f,19.22,273.8433,80.0,1.5829,0,1.837,0.4292,378538.67,63089.77833333333,18.8769,13.0,-0.0292,3.0,1.0,0.0,0.0,274.0,274.0
0xeb20e24d0a04dabc5c5f917767ce68278facfdab,8.0,0.0219,0.0219,0.0027,0,inf,0.0,0.0,0.0,0.0,0.0,0.0362,1.0,0.0,0.0,0.0,38.0,38.0
0x84adc9e8395d95f246ba2667e40cdecb0a5ca816,4.0,9.0,9.0,2.25,0,4.8645,0.1707,4002.11,2001.055,1.4799,1.0,0.0065,1.0,1.0,0.0,0.0,2.0,2.0
0x5542db5a5076b90e27934046e3e8faf75beb4638,6.0,0.0,0.0,0.0,0,inf,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,0.0
0x13241502c7bbf394ab55959926ba67224930245e,9.0,0.02,0.0107,0.0022,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,7.0
0x6f24f1049fede7ee2cbf785767b0101c96efaca0,25.0,0.0159,0.0159,0.0006,0,1.5087,0.5178,31117.62,15558.81,246.4957,4.0,-0.0364,1.0,1.0,0.0,0.0,27.0,27.0
0xadf29199657563532991d2985a4be37e9725ccaa,5.0,0.0003,0.0003,0.0001,0,inf,0.0,0.0,0.0,0.0,0.0,0.0362,1.0,0.0,0.0,0.0,2.0,2.0
0xc6ee985ae713493e9d83e15e01ab87fa010c7387,6.74,36.802,7.4,0.1092,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1504.0,1504.0
0x937be27f9155f6bd38f7a23828171ff529ea607d,4.45,30.3716,15.0,0.1797,0,inf,0.0,0.0,0.0,0.0,0.0,0.0416,2.0,0.0,0.0,4.0,1153.0,107.0
0x29ae898f540d404f3bfc8bcc2177b10a12311d1c,3.5,20.7012,5.0,0.174,0,1.8162,0.4159,17129.89,5709.963333333333,3.2763,5.0,-0.0273,1.0,1.0,0.0,2.0,1045.0,702.0
0x4e8bd3f9f280021adfda1ac446958c12cf13d4a7,16.0,371.2253,58.3183,2.9002,0,1.5416,0.5074,58668.29,14667.0725,17.8343,1.0,-0.0332,2.0,1.0,0.0,0.0,239.0,60.0
0x75068fa078ad6570af588c73e66a43e021b57462,7.68,7.6799,4.0,0.0161,0,inf,0.0,0.0,0.0,0.0,0.0,0.0142,5.0,0.0,0.0,4.0,1875.0,1242.0
0x0f922a15561dbad53b8f6ed25be18897e7c5c5ea,41.0,827.7729,200.0,4.0379,0,1.7296,2.8663,4102067.21,1367355.7366666666,16759.549,30.0,-0.1704,1.0,1.0,0.0,0.0,161.0,161.0
0x51a93fe2d844e1df7a9299e68517e222efebcbfa,27.26,1253.0365,308.9153,1.4829,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,934.0,934.0
0x05a9b4185184705b89fc75513e4ae4ba1466e061,10.61,25.9126,2.8374,0.0872,0,1.0097,0.7727,50.03,10.006,2.1537,2.0,-0.0148,3.0,1.0,0.0,2.0,861.0,839.0
0x82f0884654e0e478e0393c2940fb05a22fb7d27c,7.57,31.6588,4.11,0.0889,0,inf,0.0,0.0,0.0,0.0,0.0,0.0054,2.0,0.0,0.0,11.0,1433.0,1430.0
0xf6222916bc8b70a8134f1953f8a661d0a030717d,3.51,24.4677,4.0,0.1268,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1684.0,1684.0
0x8c16a957c776f8275c5887cdc070e0ef7022fb49,56.0,0.0069,0.0069,0.0001,0,1.2129,0.6434,10073.34,5036.67,109.959,12.0,-0.0454,1.0,1.0,0.0,0.0,12.0,12.0
0x67701e71f9412af1bcb2d77897f40139b6ccc073,6.11,14.7166,2.0,0.0513,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,4.0,1429.0,1036.0
0x9ee2588c8d06b3b69e58e640bc55ed00217587d3,25.83,485.037,13.9065,0.3477,0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,1.0,0.0,0.0,16.0,1633.0,1439.0
0xfabd6204ea9af2eb2580cf1a62a153632ded843e,18.38,0.6967,0.2,0.0047,0,inf,0.0,0.0,0.0,0.0,0.0,0.0375,1.0,0.0,0.0,1.0,245.0,245.0
0x98f7b83511ae5477981fd5b7715dbb9355e14b66,1.07,0.3527,0.1851,0.0061,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1626.0,1305.0
0xc12501fb61cdb7168102389921bca89ab704c862,1.14,1.1174,0.8047,0.0339,0,inf,0.0,0.0,0.0,0.0,0.0,0.0469,1.0,0.0,0.0,0.0,891.0,891.0
0x5b393dadb71f2066d8c0803cbd2ceec5835bdffc,7.11,78.1926,25.368,1.2218,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,267.0,238.0
0x858f5d11489fd108527f1220a6d5291f8228f00c,10.0,3.2727,0.9509,0.3273,0,inf,0.0,0.0,0.0,0.0,0.0,0.0186,1.0,0.0,0.0,1.0,1.0,0.0
0xfa76ffd3d5e03b0acf84a57e9b57a4d186f18ec2,13.19,713.1541,160.0,2.5746,0,inf,0.0,0.0,0.0,0.0,0.0,0.0362,2.0,0.0,0.0,0.0,625.0,548.0
0xd3afc3aecece1d0f1436fcf102642cacf5b330ef,1.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,469.0,458.0
0xd782fc1ba0b64c6d20df5e967b378f6ce80c4373,7.29,1.4384,0.146,0.0282,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,223.0,223.0
0x9f92249e0ab0cee486fc38674f508730559ec6dd,8.85,27.7633,2.2,0.0682,0,0.7284,1.1435,1.29,0.3225,0.0003,2.0,-0.1393,3.0,1.0,1.0,0.0,1398.0,1287.0
0xf5843ce00b91728b255703c1c00548494eafb29c,11.86,0.1587,0.1487,0.0019,0,inf,0.0,0.0,0.0,0.0,0.0,0.0362,1.0,0.0,0.0,0.0,200.0,183.0
0x91feaeaf87894f951691d32cd469fbd0c2e6f320,3.35,346.8134,32.1,1.2169,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,5.0,2568.0,1414.0
0x9a5e4b8563563ab30a1c12d4cd2b888b09ce002d,7.1,32.7127,31.8,0.2304,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,621.0,291.0
0xfeb70205c8ad867f0a22f1027fce836900736bf8,1.14,0.1148,0.0843,0.0144,0,inf,0.0,0.0,0.0,0.0,0.0,0.0365,1.0,0.0,0.0,0.0,222.0,3.0
0x03ab15de3350091dbd7c12e78e33f00ad5f034b8,5.0,3.5232,3.517,0.7046,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0
0x7eba99cb662c780c93a84732a6dbe2d207fc284d,5.0,59.6735,20.3436,1.1935,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,9.0,294.0,252.0
0x874aeebe06c367540216d4ac62fa0535b28ba176,19.71,523.7177,27.0,0.4831,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1678.0,1678.0
0x13ebb2dae1046628250056342b1e62023875fc3a,12.5,0.0166,0.0166,0.0007,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62.0,15.0
0xce4963570782dc0bc9bdbad684bb1d89e07dc96b,2.56,42.2158,10.4148,0.3059,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1635.0,1006.0
0x1740b4ba2d28abaff5921b30c0f668edf3835c8c,0.69,0.7606,0.2,0.0206,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1625.0,1625.0
0xc78b842ad53dcd8f8d6d92300d467f4c1e4583fc,18.75,36.7691,1.6392,0.0981,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,592.0,567.0
0xd9bd26ff058417a25a1bcdf77734819508f19f5d,2.0,0.0145,0.0083,0.0008,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,275.0,272.0
0x96bf123d73b15687b9a0871728e8818a5b4682e4,2.48,0.0432,0.0131,0.0008,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,695.0,0.0
0x1a79efc7c26f2d833f4af137c02f704e6b5de095,1.38,1.3108,0.5918,0.1192,0,1.8749,0.4423,700.4,350.2,1.7763,1.0,-0.0107,1.0,1.0,0.0,0.0,253.0,222.0
0x08d954a5c9cfaf91aa649e11ee22bccab48a7ff6,5.74,16.5545,1.885,0.0687,0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,3.0,0.0,0.0,2.0,1279.0,691.0
0xfed8555bde8def739bec596a1b6309185c4096f5,7.0,0.4124,0.2124,0.0016,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1097.0,1083.0
0x53322d1cf14ba0adbf38c0a895e45acf2dc6aedf,0.32,23.4607,6.2742,0.8689,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2554.0,1603.0
0x8d1a6c970e46d7fecc8228547a5a259dc24f012a,1.05,0.1546,0.0518,0.0026,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1687.0,1687.0
0xb2e7b9efcbeec9929fe8dc79a50ec9ec0fa21443,6.58,28.0984,7.0,0.2248,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,589.0,589.0
0x35fea7f23ad7722d00f2e2a10f388c8ad08e106c,28.0,434.4871,79.0616,0.5351,0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,3.0,0.0,1.0,46.0,894.0,859.0
0x890290135b5c787d616ae3d772f35ab6447434cd,1.44,0.0177,0.0177,0.0007,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,555.0,0.0
0xb08979f3806e2139000d9dd657e4f58af6b4ca79,40.83,0.0663,0.01,0.0003,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,4.0,166.0,0.0
0x2bd96245df9c5cae76c007d895bf22185512e9a8,1.59,71.8078,23.2,0.5129,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2660.0,1716.0
0xca537915f4b4d1dad0a07a2bdb679e0076817c28,0.6,0.6187,0.1231,0.0238,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1308.0,1305.0
0xaa0c3d6fd25aa2c23aed2659197ef39aea306172,15.87,682.9143,94.0,0.9565,0,1.5849,0.0,119941.77,29985.4425,1.3176,17.0,0.0,3.0,1.0,0.0,3.0,1368.0,1367.0
0xba0d2f9e8e2374f022a71d887f908d4d25f1de9d,9.0,0.0486,0.032,0.0027,0,inf,0.0,0.0,0.0,0.0,0.0,0.0068,2.0,0.0,0.0,0.0,66.0,1.0
0xbb6d6246c82587253c52f258229ace2e379b30a0,4.67,0.2729,0.1,0.0195,0,2.3598,0.0,130.05,130.05,24.6774,1.0,0.0,1.0,1.0,0.0,2.0,85.0,84.0
0x364662c98f048da9484665175dda0823d7fc0e30,0.51,9.2453,2.2211,0.201,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2723.0,1580.0
0xd730cd62cda9cfdc109be2d819b0337fafdca959,102.18,788855.3901,6000.0,227.0741,0,inf,0.0,0.0,0.0,0.0,186.0,0.0,3.0,0.0,0.0,30.0,1030.0,1030.0
0xb25e9d0b79c6d3097dc27039e39a41a4cb2c87ad,32.73,234.5962,36.0,0.6517,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,11.0,342.0,285.0
0x1b6fd9e9226b768be4fd88af1a77ddd7a9b303b5,1.5,0.0487,0.015,0.0054,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,165.0,0.0
0xfff57ed154cc864ebd4c865b36adf4c6aaeda4bf,2.0,0.0192,0.0192,0.0048,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,55.0,55.0
0x61967689749d19de31f451d23a6618c9eba94cd3,7.27,160.0974,12.3026,0.2591,0,2.9605,0.2384,2396.93,599.2325,0.8628,4.0,-0.0165,2.0,1.0,0.0,3.0,2587.0,1600.0
0x306dcf5aa0f2372b78bbdcd3437b2509f599b66b,43.0,0.05,0.05,0.0012,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,14.0
0xf76176a853dbc35d1ef1530d5c708fcbfebb002a,1.6,1264.6799,78.2258,13.5987,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1748.0,1669.0
0x0c276035eaad71046e45b592b9ced95c865d1fae,1.03,30.9736,10.0,0.4555,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020.0,1562.0
0x1ce73ccf7f72316aa903487f0528b223cd8b3db1,0.28,0.0505,0.02,0.0034,0,inf,0.0,0.0,0.0,0.0,0.0,0.0365,1.0,0.0,0.0,0.0,1603.0,518.0
0xbad24aadc1b3f2da787180ef8fd8a410f87dccfb,40.0,0.0679,0.0264,0.0017,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,25.0,0.0
0xb4924cb5709a45df58565f37229948f30fe8add7,3.06,0.6565,0.279,0.0044,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1478.0,1318.0
0xf6b8d0db6eb2ac0d7215b08b34ccf13971d59561,29.5,0.1272,0.0972,0.0022,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,71.0,35.0
0x8bc2b003e8172791ff8c0afc4915f9a5688a1173,18.93,1036.2369,42.98,2.0279,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,816.0,795.0
0xc85793b756ccf04f2bdfed1fc3a551cad8dd340e,7.71,668.5497,31.2902,2.4761,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1068.0,1065.0
0x2ffe136ff9f005b71c35ad4cd67fa8643f706538,4.5,0.05,0.05,0.0028,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,122.0,122.0
0xbae8b5cbd9b39ed764321c36926d190e5e4d2880,6.81,95.1881,20.346,0.3885,0,inf,0.0,0.0,0.0,0.0,5.0,0.0,2.0,0.0,0.0,0.0,1092.0,1092.0
0x534d4e82ea7eca7f62c3fdf6d39a541be95bf951,4.14,82.9229,8.9,0.2356,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2575.0,1380.0
0x9712c160925403a9458bfc6bbd7d8a1e694c984a,27.87,8719.4721,1000.0,10.43,0,1.1501,0.7012,1639484.83,327896.966,1.5816,6.0,-0.0419,3.0,1.0,1.0,21.0,918.0,893.0
0x0dfd172b4d908ddac1da2bf5b474adcee836c9e0,5.79,668.0924,32.03,2.6831,0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,1.0,0.0,0.0,0.0,1299.0,1138.0
0x042b85d132241b43e4a34c8342ae6cf9e2055aef,4.83,0.1901,0.1,0.0017,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,704.0,309.0
0x56cf0ff00fd6cfb23ce964c6338b228b0fa76640,12.17,8852.5387,993.0,17.324,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,1.0,1269.0,1269.0
0xdac168364712f0ee1fbd41936e8872050b44e177,3.17,0.055,0.035,0.0014,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,373.0,172.0
0x9aec931268365ab47685d4add66dd4c11ba0ac3d,0.0,0.0,0.0,0.0,0,1.0407,0.8876,6597598.1,1319519.62,6597598.1,0.0,-0.063,2.0,1.0,0.0,0.0,0.0,0.0
0x46a07d82e74da5f6b8a733a5788dd5426685e0a4,36.0,0.0683,0.0249,0.0009,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,45.0
0x0da95935760caafb7443a1d2c558d5bd6a2ac144,8.09,2687.1639,920.0,30.1929,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,328.0,328.0
0x11b992b08e260b2b267d261fc71f32dca3db67d5,5.57,4.8024,1.91,0.0616,0,2.204,0.3335,4006.05,2003.025,83.1821,6.0,-0.0237,1.0,1.0,0.0,0.0,435.0,435.0
0x3900e118c8febddf4429981f5932cc6e377b719a,4.56,0.0552,0.01,0.0013,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,275.0,228.0
0x2e8aa0113e406fc7dc78c392f4e6762c6513f3b5,15.0,141.0217,103.4402,9.4014,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0
0xfdf4f68b4a9dc244213d03b8951c8babccf503d1,2.33,5.8108,1.45,0.1384,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,545.0,109.0
0x5e8111773003d050ef08ce55188748ab1671f280,1.0,0.9465,0.4669,0.086,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,338.0,315.0
0x33a2b65eec9e9783231d31bda0005f15ad148304,6.93,9.479,2.2,0.0977,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,3.0,409.0,409.0
0x61ab2065ae29976c9de4aa86b874771d64477bc3,2.3,0.3739,0.1093,0.0163,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,309.0,188.0
0x3de35dd7e06db926285c37c6c4700d7e5814576a,3.36,3.0823,0.6577,0.0833,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,326.0,2.0
0xfd9a6cd1670fe8eb4012d8abb9cdf25741a6ff04,91.33,147.3302,10.5533,0.0177,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,5.0,0.0,4.0,19.0,2754.0,1781.0
0x7a68f1a49230da49ba7bac5ddb6f5a4ab8d7bb21,0.2,0.6919,0.304,0.0692,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1491.0,1491.0
0x88bf0b6148b2202f6de043e794936c57066e7f4a,9.0,0.0037,0.0037,0.0004,0,inf,0.0,0.0,0.0,0.0,0.0,0.0366,1.0,0.0,0.0,0.0,6.0,1.0
0x47497b287bf3ee6f7f8ee3e1f146bcf6fd69faac,10.0,0.073,0.0523,0.0036,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0,60.0
0xe422eaf91fc1236671670477fca3e004882fdb8f,0.78,0.4634,0.32,0.0095,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1920.0,1920.0
0xa1616482c1f7b160becaff282b4cc4c9f0a996c0,1.37,48.7489,34.1022,0.7738,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,4.0,1412.0,1412.0
0x630daeb3f561a58475205f5730335c13de507b4e,93.5,11654.9635,1090.0,6.9251,0,inf,0.0,0.0,0.0,0.0,47.0,0.0185,2.0,0.0,0.0,4.0,536.0,210.0
0x294838bf456f741213b9233b129460f27ad23fe0,0.45,4.0916,1.4991,0.1077,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2550.0,1547.0
0x9516bdb5fa00d93043d58a8b1a504a1e0a8d09ca,5.92,307.0026,100.0,3.987,0,1.8108,0.4482,100019.02,33339.67333333333,17.3738,8.0,-0.0279,2.0,1.0,0.0,0.0,399.0,396.0
0x11f81413698454949a0b0c879183bfef9b9c291c,1.15,2.0051,0.9995,0.0668,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,788.0,120.0
0x66a7ee56ea6d3b644fca72a7e1901bbd3aefc1da,3.56,12.6316,1.1,0.0826,0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,3.0,0.0,1.0,0.0,1317.0,1317.0
0x8479961d1a96150b2c92a3c22ec8305cfefcdddb,2.54,0.5605,0.248,0.017,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,404.0,253.0
